20001: ['17', '25', '26', '32', '34'], ['04', '07']
20002: ['03', '07', '18', '25', '30'], ['02', '07']
20003: ['23', '25', '26', '30', '34'], ['03', '07']
20004: ['17', '20', '21', '29', '30'], ['05', '09']
20005: ['06', '10', '33', '34', '35'], ['01', '03']
20006: ['09', '22', '25', '31', '32'], ['08', '12']
20007: ['02', '10', '19', '24', '30'], ['05', '08']
20008: ['14', '17', '19', '24', '32'], ['01', '06']
20009: ['19', '29', '31', '34', '35'], ['06', '10']
20010: ['01', '08', '13', '24', '32'], ['02', '09']
20011: ['02', '13', '19', '22', '23'], ['02', '07']
20012: ['01', '06', '18', '32', '34'], ['01', '03']
20013: ['01', '04', '05', '11', '35'], ['03', '09']
20014: ['03', '07', '09', '17', '21'], ['03', '06']
20015: ['01', '07', '23', '24', '26'], ['03', '07']
20016: ['04', '08', '19', '31', '35'], ['01', '02']
20017: ['01', '06', '07', '09', '10'], ['02', '11']
20018: ['09', '14', '16', '24', '26'], ['04', '12']
20019: ['01', '12', '22', '23', '33'], ['01', '12']
20020: ['08', '10', '12', '26', '32'], ['05', '09']
20021: ['10', '12', '24', '31', '33'], ['04', '09']
20022: ['04', '14', '20', '28', '35'], ['02', '03']
20023: ['04', '11', '23', '26', '30'], ['01', '06']
20024: ['03', '05', '06', '24', '30'], ['03', '07']
20025: ['02', '14', '21', '22', '26'], ['05', '07']
20026: ['03', '15', '26', '32', '34'], ['08', '12']
20027: ['04', '07', '20', '25', '32'], ['03', '09']
20028: ['04', '05', '28', '34', '35'], ['01', '08']
20029: ['11', '14', '17', '22', '30'], ['07', '09']
20030: ['01', '08', '17', '27', '30'], ['05', '06']
20031: ['01', '02', '05', '15', '21'], ['04', '05']
20032: ['02', '03', '09', '16', '32'], ['03', '04']
20033: ['07', '19', '20', '31', '34'], ['05', '08']
20034: ['11', '13', '20', '27', '31'], ['02', '04']
20035: ['10', '11', '22', '26', '28'], ['02', '04']
20036: ['01', '05', '11', '12', '26'], ['02', '07']
20037: ['01', '04', '10', '11', '14'], ['02', '05']
20038: ['04', '15', '20', '22', '24'], ['01', '09']
20039: ['01', '05', '15', '22', '31'], ['02', '09']
20040: ['02', '17', '20', '28', '29'], ['01', '07']
20041: ['07', '13', '20', '29', '34'], ['04', '07']
20042: ['03', '04', '05', '11', '22'], ['05', '06']
20043: ['12', '13', '17', '31', '32'], ['01', '06']
20044: ['01', '03', '22', '28', '30'], ['02', '05']
20045: ['02', '09', '16', '23', '27'], ['03', '08']
20046: ['15', '24', '27', '30', '34'], ['04', '12']
20047: ['04', '18', '27', '28', '30'], ['03', '10']
20048: ['03', '09', '10', '15', '16'], ['07', '09']
20049: ['03', '11', '15', '22', '30'], ['08', '10']
20050: ['03', '14', '16', '22', '34'], ['02', '06']
20051: ['02', '07', '09', '19', '33'], ['01', '07']
20052: ['09', '11', '26', '28', '35'], ['06', '07']
20053: ['02', '15', '18', '21', '27'], ['03', '06']
20054: ['11', '14', '15', '19', '20'], ['03', '07']
20055: ['03', '04', '12', '18', '34'], ['10', '12']
20056: ['03', '11', '25', '29', '34'], ['03', '06']
20057: ['17', '20', '21', '22', '31'], ['02', '08']
20058: ['01', '15', '19', '26', '27'], ['05', '10']
20059: ['01', '15', '22', '28', '32'], ['03', '11']
20060: ['12', '14', '25', '34', '35'], ['03', '12']
20061: ['07', '08', '12', '21', '26'], ['01', '06']
20062: ['01', '05', '14', '23', '31'], ['02', '07']
20063: ['11', '18', '20', '21', '33'], ['06', '07']
20064: ['05', '10', '23', '34', '35'], ['01', '11']
20065: ['13', '15', '26', '32', '33'], ['05', '07']
20066: ['06', '14', '21', '34', '35'], ['03', '10']
20067: ['01', '08', '14', '16', '28'], ['04', '10']
20068: ['15', '20', '23', '26', '33'], ['02', '08']
20069: ['05', '07', '26', '30', '31'], ['07', '10']
20070: ['01', '22', '30', '31', '32'], ['04', '12']
20071: ['01', '12', '16', '28', '33'], ['03', '12']
20072: ['11', '15', '18', '20', '27'], ['05', '06']
20073: ['04', '10', '12', '23', '27'], ['08', '09']
20074: ['03', '09', '10', '12', '21'], ['04', '11']
20075: ['02', '09', '10', '21', '35'], ['01', '07']
20076: ['01', '08', '18', '28', '30'], ['10', '12']
20077: ['17', '23', '28', '29', '32'], ['01', '03']
20078: ['14', '18', '20', '28', '34'], ['10', '11']
20079: ['04', '16', '24', '29', '35'], ['02', '12']
20080: ['03', '06', '22', '24', '25'], ['09', '10']
20081: ['01', '13', '15', '32', '35'], ['08', '10']
20082: ['02', '11', '12', '21', '34'], ['04', '08']
20083: ['01', '02', '17', '32', '34'], ['04', '09']
20084: ['02', '10', '20', '24', '31'], ['06', '12']
20085: ['03', '04', '11', '15', '28'], ['02', '03']
20086: ['08', '11', '15', '20', '28'], ['04', '10']
20087: ['01', '04', '20', '23', '29'], ['04', '08']
20088: ['02', '07', '23', '26', '35'], ['01', '12']
20089: ['13', '16', '20', '22', '27'], ['01', '02']
20090: ['05', '06', '27', '28', '29'], ['11', '12']
20091: ['12', '16', '20', '23', '31'], ['05', '12']
20092: ['08', '11', '17', '31', '35'], ['07', '11']
20093: ['06', '14', '25', '27', '28'], ['04', '11']
20094: ['04', '06', '07', '08', '16'], ['02', '08']
20095: ['02', '18', '25', '26', '32'], ['02', '07']
20096: ['07', '08', '10', '25', '28'], ['03', '11']
20097: ['05', '25', '27', '30', '34'], ['06', '12']
20098: ['04', '09', '15', '24', '35'], ['04', '10']
